Starting simulation with mode=tpot, load_scenario=high...
[2/265] User 5 | target_len=104 | tpot = 41.9147
[7/265] User 8 | target_len=1502 | tpot = 47.7912
[1/265] User 1 | target_len=14038 | tpot = 42.9082
[5/265] User 6 | target_len=4895 | tpot = 45.9366
[4/265] User 2 | target_len=101 | tpot = 45.7857
[3/265] User 2 | target_len=13872 | tpot = 43.3734
[9/265] User 6 | target_len=1493 | tpot = 35.7791
[11/265] User 4 | target_len=1527 | tpot = 41.4304
[14/265] User 4 | target_len=111 | tpot = 41.4469
[6/265] User 5 | target_len=13866 | tpot = 22.1088
[8/265] User 6 | target_len=14262 | tpot = 22.3419
[13/265] User 2 | target_len=5021 | tpot = 29.4837
[10/265] User 6 | target_len=13881 | tpot = 21.0569
[18/265] User 1 | target_len=5028 | tpot = 42.8497
[16/265] User 4 | target_len=13857 | tpot = 42.8189
[15/265] User 4 | target_len=13935 | tpot = 21.4652
[21/265] User 6 | target_len=4958 | tpot = 43.0307
[19/265] User 6 | target_len=14102 | tpot = 21.4716
[12/265] User 3 | target_len=5026 | tpot = 13.1415
[17/265] User 8 | target_len=14137 | tpot = 14.3724
[20/265] User 5 | target_len=14028 | tpot = 16.7161
[27/265] User 7 | target_len=5043 | tpot = 42.6213
[29/265] User 5 | target_len=5222 | tpot = 42.2416
[23/265] User 7 | target_len=14164 | tpot = 14.3023
[22/265] User 3 | target_len=14002 | tpot = 14.3015
[33/265] User 6 | target_len=5056 | tpot = 42.5934
[31/265] User 3 | target_len=1469 | tpot = 42.5852
[26/265] User 2 | target_len=14088 | tpot = 14.2520
[24/265] User 6 | target_len=13815 | tpot = 14.2511
[28/265] User 7 | target_len=13963 | tpot = 14.1875
[25/265] User 3 | target_len=14099 | tpot = 10.6960
[34/265] User 2 | target_len=5034 | tpot = 42.8698
[37/265] User 3 | target_len=1522 | tpot = 42.8754
[35/265] User 7 | target_len=13943 | tpot = 21.4847
[40/265] User 8 | target_len=1435 | tpot = 43.0901
[39/265] User 5 | target_len=1450 | tpot = 43.0750
[32/265] User 2 | target_len=13942 | tpot = 14.2806
[41/265] User 4 | target_len=1519 | tpot = 43.0909
[38/265] User 5 | target_len=14071 | tpot = 21.2407
[36/265] User 2 | target_len=13948 | tpot = 14.2036
[45/265] User 1 | target_len=1453 | tpot = 41.9092
[46/265] User 1 | target_len=4923 | tpot = 41.9292
[44/265] User 1 | target_len=5074 | tpot = 21.2681
[48/265] User 6 | target_len=4877 | tpot = 43.1688
[42/265] User 5 | target_len=13890 | tpot = 21.2656
[50/265] User 8 | target_len=5097 | tpot = 43.1913
[49/265] User 2 | target_len=4902 | tpot = 43.1740
[30/265] User 3 | target_len=4896 | tpot = 7.1982
[53/265] User 1 | target_len=109 | tpot = 43.7634
[43/265] User 2 | target_len=5006 | tpot = 15.2445
[51/265] User 6 | target_len=100 | tpot = 43.6983
[47/265] User 7 | target_len=13817 | tpot = 21.5635
[54/265] User 2 | target_len=5085 | tpot = 43.0851
[55/265] User 8 | target_len=1499 | tpot = 43.0951
[52/265] User 7 | target_len=1488 | tpot = 43.0778
[57/265] User 3 | target_len=122 | tpot = 44.0336
[58/265] User 2 | target_len=4902 | tpot = 44.0952
[59/265] User 5 | target_len=5071 | tpot = 44.1563
[56/265] User 7 | target_len=13913 | tpot = 24.2044
[62/265] User 2 | target_len=4934 | tpot = 45.2631
[65/265] User 7 | target_len=5071 | tpot = 43.3457
[68/265] User 6 | target_len=113 | tpot = 42.6064
[60/265] User 2 | target_len=13899 | tpot = 22.1250
[61/265] User 8 | target_len=14055 | tpot = 22.1266
[69/265] User 4 | target_len=5006 | tpot = 43.5840
[64/265] User 1 | target_len=13885 | tpot = 19.8797
[63/265] User 5 | target_len=14066 | tpot = 14.7555
[73/265] User 5 | target_len=1550 | tpot = 42.0512
[75/265] User 1 | target_len=4847 | tpot = 42.2596
[67/265] User 2 | target_len=13866 | tpot = 14.4206
[66/265] User 8 | target_len=13955 | tpot = 14.1960
[74/265] User 4 | target_len=5117 | tpot = 22.6382
[71/265] User 4 | target_len=13859 | tpot = 14.3707
[70/265] User 2 | target_len=13782 | tpot = 13.9503
[79/265] User 5 | target_len=1508 | tpot = 42.8467
[80/265] User 2 | target_len=5080 | tpot = 42.1496
[76/265] User 2 | target_len=14306 | tpot = 19.8927
[72/265] User 6 | target_len=14037 | tpot = 10.7660
[82/265] User 2 | target_len=5037 | tpot = 29.5868
[86/265] User 2 | target_len=4920 | tpot = 42.2038
[78/265] User 2 | target_len=14116 | tpot = 14.2170
[77/265] User 2 | target_len=13919 | tpot = 14.2176
[83/265] User 4 | target_len=13864 | tpot = 14.1854
[88/265] User 2 | target_len=5007 | tpot = 42.5453
[89/265] User 5 | target_len=1453 | tpot = 42.5558
[81/265] User 7 | target_len=13940 | tpot = 14.1826
[87/265] User 4 | target_len=5029 | tpot = 19.3298
[94/265] User 2 | target_len=105 | tpot = 40.6279
[85/265] User 4 | target_len=14082 | tpot = 14.1160
[92/265] User 3 | target_len=1533 | tpot = 42.3101
[93/265] User 7 | target_len=1462 | tpot = 42.3308
[84/265] User 8 | target_len=13862 | tpot = 13.6525
[99/265] User 4 | target_len=105 | tpot = 41.8535
[90/265] User 2 | target_len=13872 | tpot = 14.1989
[97/265] User 4 | target_len=5076 | tpot = 42.9456
[98/265] User 1 | target_len=1492 | tpot = 42.9388
[91/265] User 5 | target_len=13997 | tpot = 21.3127
[95/265] User 5 | target_len=5057 | tpot = 20.9092
[104/265] User 8 | target_len=1527 | tpot = 43.6366
[103/265] User 7 | target_len=1438 | tpot = 43.6292
[96/265] User 6 | target_len=14003 | tpot = 19.6027
[100/265] User 7 | target_len=13914 | tpot = 21.6409
[109/265] User 4 | target_len=97 | tpot = 41.8873
[108/265] User 1 | target_len=4987 | tpot = 42.1568
[101/265] User 7 | target_len=13964 | tpot = 19.9885
[102/265] User 1 | target_len=13734 | tpot = 21.4351
[105/265] User 1 | target_len=13962 | tpot = 14.1683
[106/265] User 4 | target_len=13970 | tpot = 18.2943
[111/265] User 1 | target_len=4977 | tpot = 40.4203
[107/265] User 4 | target_len=5019 | tpot = 16.0623
[112/265] User 2 | target_len=14126 | tpot = 20.9943
[115/265] User 2 | target_len=1510 | tpot = 42.2051
[110/265] User 7 | target_len=13853 | tpot = 14.0157
[117/265] User 5 | target_len=1423 | tpot = 42.2087
[118/265] User 6 | target_len=5008 | tpot = 33.9699
[116/265] User 2 | target_len=13907 | tpot = 21.0094
[121/265] User 6 | target_len=1485 | tpot = 41.8408
[114/265] User 8 | target_len=14083 | tpot = 13.9783
[119/265] User 4 | target_len=4984 | tpot = 22.3927
[123/265] User 7 | target_len=13819 | tpot = 36.3654
[122/265] User 6 | target_len=13934 | tpot = 20.9115
[113/265] User 3 | target_len=5029 | tpot = 10.2448
[126/265] User 7 | target_len=4901 | tpot = 28.4808
[120/265] User 7 | target_len=4961 | tpot = 14.7433
[125/265] User 3 | target_len=4961 | tpot = 22.2258
[127/265] User 1 | target_len=5034 | tpot = 36.9821
[124/265] User 8 | target_len=13820 | tpot = 20.9255
[129/265] User 4 | target_len=1475 | tpot = 41.9015
[131/265] User 7 | target_len=5099 | tpot = 31.0973
[132/265] User 7 | target_len=4912 | tpot = 42.8194
[133/265] User 8 | target_len=1540 | tpot = 42.0707
[134/265] User 4 | target_len=1463 | tpot = 42.1056
[135/265] User 6 | target_len=5117 | tpot = 42.0988
[128/265] User 5 | target_len=13933 | tpot = 21.0009
[136/265] User 5 | target_len=13947 | tpot = 23.1809
[137/265] User 7 | target_len=1498 | tpot = 39.7770
[141/265] User 5 | target_len=1455 | tpot = 42.4026
[140/265] User 3 | target_len=1483 | tpot = 42.3944
[138/265] User 6 | target_len=14134 | tpot = 35.8972
[130/265] User 7 | target_len=5101 | tpot = 12.8011
[142/265] User 7 | target_len=4981 | tpot = 27.2386
[139/265] User 6 | target_len=14010 | tpot = 22.0675
[143/265] User 4 | target_len=1524 | tpot = 36.5858
[144/265] User 1 | target_len=1534 | tpot = 38.6872
[145/265] User 4 | target_len=1507 | tpot = 43.2345
[147/265] User 5 | target_len=4904 | tpot = 43.2437
[148/265] User 4 | target_len=4939 | tpot = 42.2806
[149/265] User 8 | target_len=1536 | tpot = 42.3818
[146/265] User 8 | target_len=14164 | tpot = 23.5014
[151/265] User 4 | target_len=101 | tpot = 42.0082
[152/265] User 8 | target_len=1466 | tpot = 42.4253
[150/265] User 6 | target_len=13973 | tpot = 36.0089
[154/265] User 3 | target_len=4944 | tpot = 30.0174
[156/265] User 8 | target_len=1509 | tpot = 41.0540
[153/265] User 7 | target_len=13907 | tpot = 23.2608
[158/265] User 8 | target_len=1506 | tpot = 40.3915
[155/265] User 1 | target_len=14130 | tpot = 26.6172
[160/265] User 3 | target_len=1472 | tpot = 31.4300
[159/265] User 7 | target_len=4948 | tpot = 30.1859
[164/265] User 5 | target_len=104 | tpot = 44.8718
[157/265] User 3 | target_len=13771 | tpot = 21.2715
[163/265] User 1 | target_len=1496 | tpot = 37.6056
[161/265] User 5 | target_len=13975 | tpot = 27.5747
[166/265] User 7 | target_len=4897 | tpot = 40.1391
[165/265] User 7 | target_len=5019 | tpot = 23.2204
[162/265] User 7 | target_len=13831 | tpot = 18.1390
[167/265] User 6 | target_len=14037 | tpot = 27.4981
[172/265] User 1 | target_len=1532 | tpot = 35.5794
[170/265] User 4 | target_len=5052 | tpot = 25.5815
[175/265] User 7 | target_len=1483 | tpot = 44.0194
[169/265] User 7 | target_len=14008 | tpot = 20.2555
[168/265] User 3 | target_len=13936 | tpot = 20.0877
[176/265] User 6 | target_len=87 | tpot = 42.7286
[173/265] User 6 | target_len=14019 | tpot = 20.4864
[171/265] User 6 | target_len=13708 | tpot = 14.4014
[179/265] User 7 | target_len=5038 | tpot = 43.0568
[178/265] User 4 | target_len=1544 | tpot = 43.0460
[174/265] User 5 | target_len=14032 | tpot = 14.3153
[184/265] User 4 | target_len=1570 | tpot = 41.8404
[177/265] User 7 | target_len=14007 | tpot = 18.4302
[181/265] User 7 | target_len=4947 | tpot = 29.9649
[183/265] User 6 | target_len=5010 | tpot = 20.9305
[180/265] User 3 | target_len=13914 | tpot = 14.0841
[185/265] User 1 | target_len=13972 | tpot = 20.9327
[189/265] User 7 | target_len=14083 | tpot = 21.0971
[187/265] User 1 | target_len=13995 | tpot = 21.0951
[191/265] User 7 | target_len=5061 | tpot = 42.5088
[190/265] User 5 | target_len=1520 | tpot = 42.5022
[192/265] User 5 | target_len=13951 | tpot = 20.9175
[194/265] User 5 | target_len=4959 | tpot = 41.2016
[188/265] User 1 | target_len=13999 | tpot = 13.9518
[186/265] User 7 | target_len=4927 | tpot = 12.0820
[196/265] User 4 | target_len=5014 | tpot = 22.7028
[193/265] User 5 | target_len=14339 | tpot = 21.0325
[198/265] User 1 | target_len=13884 | tpot = 42.9742
[182/265] User 8 | target_len=4975 | tpot = 8.0080
[195/265] User 5 | target_len=5071 | tpot = 14.8118
[199/265] User 3 | target_len=13950 | tpot = 21.4450
[202/265] User 8 | target_len=1496 | tpot = 42.7899
[197/265] User 1 | target_len=13813 | tpot = 21.4423
[205/265] User 6 | target_len=4982 | tpot = 42.1634
[200/265] User 6 | target_len=13787 | tpot = 16.9961
[201/265] User 4 | target_len=13863 | tpot = 19.9383
[206/265] User 6 | target_len=5069 | tpot = 30.4206
[204/265] User 5 | target_len=14272 | tpot = 15.8170
[203/265] User 8 | target_len=14143 | tpot = 14.4441
[211/265] User 3 | target_len=1481 | tpot = 44.2957
[212/265] User 8 | target_len=104 | tpot = 42.6907
[207/265] User 3 | target_len=13988 | tpot = 14.4735
[208/265] User 6 | target_len=13798 | tpot = 14.4741
[214/265] User 4 | target_len=5028 | tpot = 43.0584
[216/265] User 6 | target_len=1488 | tpot = 42.7144
[218/265] User 4 | target_len=105 | tpot = 42.2458
[217/265] User 5 | target_len=5031 | tpot = 42.5976
[210/265] User 5 | target_len=14058 | tpot = 14.4348
[209/265] User 8 | target_len=13768 | tpot = 13.8410
[219/265] User 6 | target_len=1424 | tpot = 42.6001
[220/265] User 6 | target_len=90 | tpot = 42.3382
[221/265] User 5 | target_len=4974 | tpot = 40.9856
[213/265] User 1 | target_len=13796 | tpot = 14.2914
[215/265] User 8 | target_len=14045 | tpot = 14.2923
[224/265] User 4 | target_len=1508 | tpot = 42.9802
[223/265] User 6 | target_len=14034 | tpot = 21.2832
[230/265] User 5 | target_len=1490 | tpot = 42.1864
[226/265] User 1 | target_len=5031 | tpot = 24.3134
[222/265] User 6 | target_len=5077 | tpot = 21.2836
[225/265] User 8 | target_len=14119 | tpot = 15.0125
[232/265] User 8 | target_len=5023 | tpot = 44.3281
[231/265] User 8 | target_len=5169 | tpot = 44.3370
[234/265] User 1 | target_len=1520 | tpot = 44.3466
[229/265] User 5 | target_len=14046 | tpot = 15.8854
[237/265] User 4 | target_len=1540 | tpot = 43.9315
[236/265] User 6 | target_len=1501 | tpot = 43.9408
[227/265] User 5 | target_len=14052 | tpot = 14.4868
[239/265] User 6 | target_len=1451 | tpot = 41.8557
[228/265] User 1 | target_len=14099 | tpot = 11.5173
[240/265] User 4 | target_len=1498 | tpot = 41.9579
[233/265] User 6 | target_len=13875 | tpot = 14.4625
[242/265] User 1 | target_len=5012 | tpot = 25.0139
[235/265] User 8 | target_len=13948 | tpot = 14.4912
[241/265] User 6 | target_len=5058 | tpot = 23.6715
[246/265] User 5 | target_len=114 | tpot = 37.1352
[243/265] User 1 | target_len=4950 | tpot = 33.7558
[238/265] User 8 | target_len=14084 | tpot = 13.1319
[245/265] User 4 | target_len=5016 | tpot = 24.9855
[247/265] User 5 | target_len=1516 | tpot = 41.8810
[248/265] User 1 | target_len=5063 | tpot = 42.7734
[249/265] User 1 | target_len=1583 | tpot = 42.6098
[251/265] User 4 | target_len=4921 | tpot = 41.7831
[244/265] User 1 | target_len=14001 | tpot = 16.9178
[254/265] User 3 | target_len=100 | tpot = 43.3018
[250/265] User 4 | target_len=13953 | tpot = 24.9863
[253/265] User 1 | target_len=4951 | tpot = 38.0616
[256/265] User 1 | target_len=1450 | tpot = 35.6988
[257/265] User 3 | target_len=4951 | tpot = 34.6942
[258/265] User 4 | target_len=5020 | tpot = 42.9612
[259/265] User 4 | target_len=4962 | tpot = 43.0057
[252/265] User 1 | target_len=13998 | tpot = 17.5010
[261/265] User 4 | target_len=4978 | tpot = 43.0688
[262/265] User 3 | target_len=4944 | tpot = 34.5779
[264/265] User 3 | target_len=4935 | tpot = 44.5225
[265/265] User 3 | target_len=4922 | tpot = 43.7553
[255/265] User 1 | target_len=14011 | tpot = 14.4874
[260/265] User 3 | target_len=14161 | tpot = 17.3987
[263/265] User 3 | target_len=14050 | tpot = 19.0053
