Starting simulation with mode=ttft, load_scenario=high...
[1/235] User 6 | target_len=104 | ttft = 0.0814
[4/235] User 7 | target_len=95 | ttft = 0.2437
[8/235] User 8 | target_len=5135 | ttft = 2.2038
[2/235] User 4 | target_len=4960 | ttft = 0.4815
[7/235] User 6 | target_len=14043 | ttft = 2.3878
[5/235] User 4 | target_len=1480 | ttft = 0.7437
[6/235] User 2 | target_len=4923 | ttft = 0.7138
[3/235] User 8 | target_len=1465 | ttft = 0.5961
[10/235] User 1 | target_len=116 | ttft = 0.0579
[11/235] User 8 | target_len=1456 | ttft = 3.6778
[9/235] User 6 | target_len=14075 | ttft = 2.1742
[15/235] User 3 | target_len=4837 | ttft = 3.6452
[14/235] User 4 | target_len=4986 | ttft = 3.6698
[13/235] User 8 | target_len=13900 | ttft = 3.6635
[20/235] User 3 | target_len=5043 | ttft = 2.0199
[17/235] User 1 | target_len=5048 | ttft = 2.6003
[19/235] User 2 | target_len=4999 | ttft = 2.0255
[18/235] User 1 | target_len=5007 | ttft = 2.0309
[16/235] User 7 | target_len=13912 | ttft = 40.1796
[22/235] User 5 | target_len=4918 | ttft = 10.8298
[12/235] User 5 | target_len=13910 | ttft = 49.6577
[23/235] User 6 | target_len=1511 | ttft = 2.1699
[24/235] User 8 | target_len=1473 | ttft = 2.1640
[25/235] User 2 | target_len=1452 | ttft = 2.1599
[26/235] User 5 | target_len=5086 | ttft = 15.4276
[27/235] User 6 | target_len=1533 | ttft = 0.6110
[30/235] User 4 | target_len=92 | ttft = 2.3755
[32/235] User 8 | target_len=4927 | ttft = 2.3572
[29/235] User 3 | target_len=5042 | ttft = 2.3706
[21/235] User 8 | target_len=13938 | ttft = 48.3842
[28/235] User 1 | target_len=1460 | ttft = 2.3815
[33/235] User 3 | target_len=1565 | ttft = 0.1786
[36/235] User 4 | target_len=92 | ttft = 3.6760
[34/235] User 6 | target_len=14021 | ttft = 10.4703
[39/235] User 2 | target_len=5013 | ttft = 3.6640
[31/235] User 7 | target_len=14082 | ttft = 25.6664
[40/235] User 7 | target_len=4946 | ttft = 3.5635
