Starting simulation with mode=tpot, load_scenario=high...
[4/269] User 5 | target_len=1498 | tpot = 40.3317
[1/269] User 4 | target_len=14064 | tpot = 39.9642
[2/269] User 1 | target_len=4951 | tpot = 40.1259
[3/269] User 2 | target_len=1522 | tpot = 40.1962
[6/269] User 5 | target_len=14040 | tpot = 22.9656
[10/269] User 5 | target_len=4977 | tpot = 42.2225
[7/269] User 2 | target_len=1497 | tpot = 20.8021
[8/269] User 1 | target_len=14039 | tpot = 20.8303
[5/269] User 1 | target_len=13865 | tpot = 19.1784
[11/269] User 4 | target_len=1539 | tpot = 34.8648
[12/269] User 2 | target_len=14026 | tpot = 24.0683
[9/269] User 2 | target_len=1409 | tpot = 24.0712
[13/269] User 7 | target_len=5088 | tpot = 37.3158
[15/269] User 2 | target_len=1504 | tpot = 37.5663
[14/269] User 2 | target_len=4895 | tpot = 37.5572
[16/269] User 5 | target_len=13911 | tpot = 24.3958
[17/269] User 8 | target_len=13852 | tpot = 24.5598
[20/269] User 3 | target_len=1575 | tpot = 32.2711
[18/269] User 7 | target_len=5087 | tpot = 22.7999
[21/269] User 1 | target_len=102 | tpot = 21.6388
[19/269] User 1 | target_len=5008 | tpot = 21.4074
[23/269] User 6 | target_len=13979 | tpot = 23.8062
[22/269] User 7 | target_len=14014 | tpot = 21.8554
[24/269] User 6 | target_len=5031 | tpot = 23.2248
[26/269] User 1 | target_len=5037 | tpot = 25.6896
[25/269] User 1 | target_len=5066 | tpot = 23.1035
[28/269] User 6 | target_len=4858 | tpot = 34.0502
[27/269] User 3 | target_len=1446 | tpot = 23.7170
[29/269] User 6 | target_len=4897 | tpot = 32.3115
[30/269] User 1 | target_len=14002 | tpot = 24.9501
[31/269] User 1 | target_len=14000 | tpot = 24.0785
[32/269] User 8 | target_len=1497 | tpot = 33.4914
[34/269] User 2 | target_len=84 | tpot = 38.2726
[33/269] User 2 | target_len=4953 | tpot = 32.7873
[35/269] User 4 | target_len=4907 | tpot = 24.1952
[36/269] User 1 | target_len=5085 | tpot = 24.1964
[38/269] User 5 | target_len=111 | tpot = 32.7657
[37/269] User 4 | target_len=13878 | tpot = 23.5934
[39/269] User 3 | target_len=13956 | tpot = 24.6112
[41/269] User 3 | target_len=14143 | tpot = 21.1846
[44/269] User 1 | target_len=4992 | tpot = 22.3660
[42/269] User 2 | target_len=13982 | tpot = 17.0116
[43/269] User 2 | target_len=4944 | tpot = 22.3672
[40/269] User 7 | target_len=13956 | tpot = 13.5037
[50/269] User 2 | target_len=4961 | tpot = 42.0004
[45/269] User 6 | target_len=1441 | tpot = 15.3161
[48/269] User 6 | target_len=1494 | tpot = 25.1530
[47/269] User 1 | target_len=1489 | tpot = 21.5824
[46/269] User 6 | target_len=1448 | tpot = 15.8816
[49/269] User 3 | target_len=14037 | tpot = 33.1980
[51/269] User 2 | target_len=1614 | tpot = 29.3266
[52/269] User 4 | target_len=5076 | tpot = 43.0710
[53/269] User 2 | target_len=5166 | tpot = 42.4584
[55/269] User 8 | target_len=14065 | tpot = 33.6958
[54/269] User 7 | target_len=4988 | tpot = 33.6985
[56/269] User 1 | target_len=14167 | tpot = 26.8029
[57/269] User 3 | target_len=13870 | tpot = 18.9978
[61/269] User 3 | target_len=85 | tpot = 25.6069
[60/269] User 8 | target_len=5102 | tpot = 19.9083
[59/269] User 8 | target_len=1484 | tpot = 19.9058
[58/269] User 2 | target_len=13778 | tpot = 18.4431
[63/269] User 8 | target_len=13995 | tpot = 21.6451
[64/269] User 2 | target_len=94 | tpot = 20.3044
[65/269] User 1 | target_len=13816 | tpot = 33.2446
