Starting simulation with mode=ttft, load_scenario=high...
[1/239] User 3 | target_len=5012 | ttft = 0.5451
[3/239] User 7 | target_len=13935 | ttft = 1.7108
[4/239] User 2 | target_len=5066 | ttft = 1.9952
[5/239] User 5 | target_len=5010 | ttft = 1.8113
[2/239] User 3 | target_len=1515 | ttft = 1.9735
[11/239] User 1 | target_len=109 | ttft = 3.6775
[6/239] User 6 | target_len=13968 | ttft = 23.7839
[7/239] User 5 | target_len=104 | ttft = 23.0241
[10/239] User 1 | target_len=13875 | ttft = 3.6898
[8/239] User 4 | target_len=5031 | ttft = 22.3310
[15/239] User 2 | target_len=13995 | ttft = 3.3523
[13/239] User 4 | target_len=94 | ttft = 25.9071
[17/239] User 7 | target_len=5107 | ttft = 3.3446
[14/239] User 7 | target_len=1490 | ttft = 8.0407
[12/239] User 1 | target_len=14144 | ttft = 25.9124
[9/239] User 6 | target_len=5064 | ttft = 3.6823
[18/239] User 4 | target_len=13789 | ttft = 23.6145
[20/239] User 1 | target_len=109 | ttft = 2.8046
[19/239] User 1 | target_len=1524 | ttft = 4.5042
[16/239] User 6 | target_len=14089 | ttft = 26.7384
[21/239] User 8 | target_len=14054 | ttft = 21.7462
[22/239] User 5 | target_len=4938 | ttft = 25.7436
[23/239] User 1 | target_len=13929 | ttft = 25.7495
[25/239] User 5 | target_len=1543 | ttft = 5.3843
[24/239] User 8 | target_len=5052 | ttft = 10.3430
[26/239] User 1 | target_len=13955 | ttft = 24.3018
[27/239] User 6 | target_len=13944 | ttft = 25.9864
[30/239] User 8 | target_len=4931 | ttft = 22.2829
[29/239] User 5 | target_len=5001 | ttft = 25.1841
[28/239] User 8 | target_len=13779 | ttft = 46.8075
[31/239] User 1 | target_len=14097 | ttft = 25.1847
[32/239] User 8 | target_len=14099 | ttft = 27.8939
[35/239] User 3 | target_len=89 | ttft = 23.1471
[36/239] User 7 | target_len=4912 | ttft = 1.1383
[33/239] User 1 | target_len=1471 | ttft = 36.3223
[34/239] User 5 | target_len=1462 | ttft = 26.9697
[38/239] User 1 | target_len=14180 | ttft = 23.1896
[39/239] User 1 | target_len=13943 | ttft = 12.5124
[37/239] User 5 | target_len=13987 | ttft = 12.0642
[41/239] User 3 | target_len=4965 | ttft = 22.1848
[40/239] User 5 | target_len=13842 | ttft = 25.2488
[42/239] User 6 | target_len=5045 | ttft = 19.6207
[45/239] User 4 | target_len=4918 | ttft = 18.4911
[44/239] User 4 | target_len=5031 | ttft = 35.5901
[47/239] User 3 | target_len=1520 | ttft = 8.6329
[46/239] User 5 | target_len=13956 | ttft = 26.1096
[48/239] User 1 | target_len=5113 | ttft = 1.9982
[50/239] User 5 | target_len=14165 | ttft = 12.3836
[54/239] User 5 | target_len=1473 | ttft = 1.7385
[51/239] User 3 | target_len=5043 | ttft = 8.1522
[53/239] User 1 | target_len=4910 | ttft = 1.7347
[55/239] User 6 | target_len=5023 | ttft = 1.7316
[52/239] User 5 | target_len=1454 | ttft = 8.1490
[43/239] User 8 | target_len=4946 | ttft = 30.3878
[49/239] User 8 | target_len=4962 | ttft = 6.7115
[56/239] User 3 | target_len=1481 | ttft = 0.3199
[57/239] User 4 | target_len=4890 | ttft = 2.4490
[61/239] User 5 | target_len=1514 | ttft = 2.4449
[58/239] User 1 | target_len=13949 | ttft = 1.4089
[59/239] User 6 | target_len=4948 | ttft = 2.4424
[62/239] User 8 | target_len=1549 | ttft = 0.3884
[60/239] User 8 | target_len=1511 | ttft = 8.0105
[63/239] User 4 | target_len=5021 | ttft = 0.4988
[64/239] User 5 | target_len=5117 | ttft = 6.6155
[65/239] User 2 | target_len=5070 | ttft = 1.5127
[67/239] User 1 | target_len=5031 | ttft = 1.5074
[66/239] User 4 | target_len=5132 | ttft = 1.5095
[68/239] User 1 | target_len=14056 | ttft = 6.9831
[71/239] User 5 | target_len=87 | ttft = 15.9644
[69/239] User 5 | target_len=5029 | ttft = 16.9620
[70/239] User 3 | target_len=1532 | ttft = 18.7499
[72/239] User 3 | target_len=13976 | ttft = 2.2790
[73/239] User 8 | target_len=88 | ttft = 9.9106
[74/239] User 5 | target_len=4977 | ttft = 9.9168
[78/239] User 3 | target_len=110 | ttft = 2.2767
[75/239] User 5 | target_len=14016 | ttft = 23.5004
[76/239] User 1 | target_len=1484 | ttft = 14.0807
[77/239] User 8 | target_len=5013 | ttft = 4.6128
[79/239] User 1 | target_len=4998 | ttft = 1.4239
[80/239] User 7 | target_len=5043 | ttft = 1.4201
[82/239] User 5 | target_len=4888 | ttft = 14.1016
[81/239] User 8 | target_len=13898 | ttft = 14.1055
[83/239] User 2 | target_len=13866 | ttft = 8.5224
[84/239] User 4 | target_len=5014 | ttft = 5.5348
[85/239] User 5 | target_len=5024 | ttft = 17.0337
[87/239] User 5 | target_len=4968 | ttft = 23.7831
[88/239] User 2 | target_len=5025 | ttft = 20.8126
[86/239] User 1 | target_len=105 | ttft = 23.7761
[91/239] User 3 | target_len=1436 | ttft = 0.7347
[89/239] User 4 | target_len=1471 | ttft = 1.9640
[90/239] User 7 | target_len=4944 | ttft = 1.9681
[92/239] User 2 | target_len=14154 | ttft = 9.3230
[93/239] User 7 | target_len=1465 | ttft = 1.5177
[94/239] User 8 | target_len=13994 | ttft = 1.6792
[96/239] User 6 | target_len=4841 | ttft = 20.5471
[95/239] User 8 | target_len=14004 | ttft = 20.5513
[98/239] User 4 | target_len=13853 | ttft = 25.1378
[97/239] User 6 | target_len=5044 | ttft = 25.1316
[99/239] User 5 | target_len=13888 | ttft = 44.0249
[100/239] User 2 | target_len=13826 | ttft = 30.2844
[101/239] User 8 | target_len=1465 | ttft = 27.8009
[102/239] User 7 | target_len=1522 | ttft = 25.4151
[104/239] User 3 | target_len=5075 | ttft = 13.2970
[103/239] User 1 | target_len=13912 | ttft = 25.3258
[105/239] User 6 | target_len=4939 | ttft = 22.8290
[106/239] User 8 | target_len=14032 | ttft = 17.4256
[107/239] User 5 | target_len=14229 | ttft = 24.9459
[108/239] User 2 | target_len=13990 | ttft = 26.4221
[109/239] User 4 | target_len=13752 | ttft = 42.5195
[110/239] User 7 | target_len=13988 | ttft = 46.8599
[111/239] User 7 | target_len=14011 | ttft = 56.9818
[114/239] User 4 | target_len=105 | ttft = 46.5525
[112/239] User 6 | target_len=14168 | ttft = 50.9376
[113/239] User 7 | target_len=1478 | ttft = 48.0524
[115/239] User 2 | target_len=14207 | ttft = 46.8081
[117/239] User 3 | target_len=4898 | ttft = 29.6808
[116/239] User 6 | target_len=13966 | ttft = 47.9324
[118/239] User 7 | target_len=1448 | ttft = 25.3373
[120/239] User 7 | target_len=14043 | ttft = 21.9614
[119/239] User 5 | target_len=5076 | ttft = 6.8449
[121/239] User 6 | target_len=5041 | ttft = 25.2103
[122/239] User 8 | target_len=1550 | ttft = 25.2072
[123/239] User 2 | target_len=1490 | ttft = 5.3163
[124/239] User 8 | target_len=14274 | ttft = 19.2357
[125/239] User 2 | target_len=13935 | ttft = 20.8234
[128/239] User 3 | target_len=4962 | ttft = 23.3032
[127/239] User 3 | target_len=5005 | ttft = 24.8866
[126/239] User 8 | target_len=13994 | ttft = 42.7326
[129/239] User 1 | target_len=14068 | ttft = 20.7535
[130/239] User 5 | target_len=1541 | ttft = 20.7485
[131/239] User 2 | target_len=5059 | ttft = 43.2410
[132/239] User 2 | target_len=13754 | ttft = 26.5148
[133/239] User 5 | target_len=14043 | ttft = 33.9908
[135/239] User 1 | target_len=5024 | ttft = 12.7914
[134/239] User 1 | target_len=1537 | ttft = 19.8641
[136/239] User 5 | target_len=13865 | ttft = 26.1475
[137/239] User 2 | target_len=14027 | ttft = 25.4765
[139/239] User 2 | target_len=95 | ttft = 17.1496
[138/239] User 2 | target_len=5106 | ttft = 29.5436
[140/239] User 8 | target_len=1492 | ttft = 17.1433
[142/239] User 2 | target_len=108 | ttft = 8.3556
[143/239] User 4 | target_len=5150 | ttft = 5.7503
[141/239] User 1 | target_len=4891 | ttft = 14.8214
[144/239] User 6 | target_len=5045 | ttft = 1.4363
[145/239] User 8 | target_len=4897 | ttft = 0.5683
[146/239] User 4 | target_len=13854 | ttft = 3.5114
[148/239] User 3 | target_len=5045 | ttft = 13.3468
[149/239] User 6 | target_len=1465 | ttft = 8.0152
[150/239] User 2 | target_len=14073 | ttft = 12.0327
[147/239] User 4 | target_len=14047 | ttft = 9.6232
[151/239] User 6 | target_len=13849 | ttft = 33.9048
[153/239] User 6 | target_len=4998 | ttft = 27.1571
[152/239] User 6 | target_len=13885 | ttft = 32.0379
[154/239] User 7 | target_len=13888 | ttft = 40.6815
[155/239] User 7 | target_len=5046 | ttft = 30.7626
[157/239] User 7 | target_len=1465 | ttft = 29.4248
[156/239] User 7 | target_len=5005 | ttft = 34.9018
[158/239] User 4 | target_len=13832 | ttft = 25.9813
[159/239] User 1 | target_len=5049 | ttft = 25.4256
[160/239] User 2 | target_len=5008 | ttft = 21.4198
[161/239] User 2 | target_len=1550 | ttft = 21.4161
[163/239] User 8 | target_len=102 | ttft = 20.3412
[162/239] User 7 | target_len=14063 | ttft = 20.3442
[166/239] User 4 | target_len=4947 | ttft = 5.7180
[164/239] User 7 | target_len=14088 | ttft = 21.2569
[165/239] User 7 | target_len=1445 | ttft = 21.2514
[167/239] User 6 | target_len=1513 | ttft = 2.1138
[168/239] User 3 | target_len=14028 | ttft = 21.9562
[173/239] User 6 | target_len=1497 | ttft = 2.0935
[170/239] User 8 | target_len=1511 | ttft = 9.2005
[171/239] User 4 | target_len=4911 | ttft = 5.6608
[169/239] User 6 | target_len=14068 | ttft = 26.1973
[174/239] User 3 | target_len=4971 | ttft = 19.1500
[176/239] User 7 | target_len=4935 | ttft = 6.1879
[172/239] User 2 | target_len=14213 | ttft = 24.8624
[175/239] User 6 | target_len=115 | ttft = 20.4778
[178/239] User 6 | target_len=1552 | ttft = 3.3399
[177/239] User 7 | target_len=14233 | ttft = 3.3434
[180/239] User 4 | target_len=86 | ttft = 20.4862
[179/239] User 7 | target_len=1491 | ttft = 20.4905
[181/239] User 6 | target_len=1463 | ttft = 6.2103
[184/239] User 1 | target_len=1481 | ttft = 1.8129
[182/239] User 7 | target_len=1466 | ttft = 1.8089
[183/239] User 4 | target_len=13906 | ttft = 1.8168
[186/239] User 1 | target_len=100 | ttft = 0.4979
[185/239] User 1 | target_len=5063 | ttft = 1.8063
[191/239] User 1 | target_len=5065 | ttft = 2.4319
[188/239] User 1 | target_len=4916 | ttft = 4.4775
[189/239] User 4 | target_len=1507 | ttft = 2.4373
[187/239] User 2 | target_len=13983 | ttft = 5.2157
[190/239] User 4 | target_len=14295 | ttft = 25.4400
[192/239] User 7 | target_len=1580 | ttft = 25.4347
[193/239] User 7 | target_len=13859 | ttft = 15.3065
