[1/222] User 6 | target_len=4975 | tpot = 41.8954
[4/222] User 1 | target_len=5012 | tpot = 43.7847
[3/222] User 3 | target_len=5066 | tpot = 43.2199
[5/222] User 4 | target_len=13908 | tpot = 43.9189
[2/222] User 3 | target_len=4901 | tpot = 42.2097
[6/222] User 6 | target_len=4977 | tpot = 22.8143
[8/222] User 4 | target_len=13914 | tpot = 22.2995
[7/222] User 4 | target_len=13962 | tpot = 21.7569
[10/222] User 1 | target_len=4991 | tpot = 30.6956
[12/222] User 1 | target_len=13783 | tpot = 21.9982
[9/222] User 4 | target_len=13954 | tpot = 21.9994
[15/222] User 6 | target_len=108 | tpot = 18.4736
[16/222] User 7 | target_len=5152 | tpot = 21.7608
[11/222] User 4 | target_len=13851 | tpot = 14.4328
[13/222] User 3 | target_len=1498 | tpot = 14.4333
[14/222] User 5 | target_len=14020 | tpot = 20.7429
[17/222] User 5 | target_len=5051 | tpot = 17.0990
[18/222] User 6 | target_len=4937 | tpot = 21.2262
[19/222] User 7 | target_len=5100 | tpot = 21.2280
[21/222] User 2 | target_len=4951 | tpot = 42.9640
[20/222] User 7 | target_len=13988 | tpot = 35.5067
[22/222] User 3 | target_len=1496 | tpot = 30.9128
[28/222] User 2 | target_len=98 | tpot = 41.1918
[27/222] User 8 | target_len=5036 | tpot = 42.1839
[23/222] User 2 | target_len=104 | tpot = 21.2906
[24/222] User 2 | target_len=14092 | tpot = 21.2878
[25/222] User 5 | target_len=1491 | tpot = 39.6420
[26/222] User 6 | target_len=13953 | tpot = 42.1842
[29/222] User 8 | target_len=74 | tpot = 31.0888
[35/222] User 8 | target_len=92 | tpot = 38.7359
[33/222] User 2 | target_len=4955 | tpot = 39.5246
[31/222] User 7 | target_len=1476 | tpot = 35.3630
[30/222] User 6 | target_len=13963 | tpot = 25.0338
[34/222] User 1 | target_len=1530 | tpot = 39.5109
[32/222] User 1 | target_len=1475 | tpot = 39.5137
[36/222] User 8 | target_len=14035 | tpot = 25.6664
[39/222] User 8 | target_len=90 | tpot = 43.3606
[38/222] User 7 | target_len=92 | tpot = 44.0683
[37/222] User 2 | target_len=14169 | tpot = 23.6450
[40/222] User 5 | target_len=5059 | tpot = 41.6958
[41/222] User 1 | target_len=1450 | tpot = 41.6853
[42/222] User 6 | target_len=1548 | tpot = 31.2255
[43/222] User 6 | target_len=14204 | tpot = 27.5139
[44/222] User 1 | target_len=13725 | tpot = 32.1472
[45/222] User 2 | target_len=1502 | tpot = 36.3896
[48/222] User 3 | target_len=5072 | tpot = 28.0771
[47/222] User 2 | target_len=1446 | tpot = 26.2713
[46/222] User 6 | target_len=13902 | tpot = 25.4213
[49/222] User 2 | target_len=14231 | tpot = 23.4278
[56/222] User 2 | target_len=92 | tpot = 44.4686
[53/222] User 8 | target_len=91 | tpot = 25.9893
[55/222] User 2 | target_len=113 | tpot = 42.9100
[52/222] User 6 | target_len=107 | tpot = 24.9283
[51/222] User 1 | target_len=94 | tpot = 20.4646
[54/222] User 7 | target_len=1486 | tpot = 43.6816
[50/222] User 4 | target_len=5015 | tpot = 19.8154
[57/222] User 3 | target_len=14052 | tpot = 40.3117
[58/222] User 8 | target_len=5205 | tpot = 41.9270
[59/222] User 5 | target_len=5033 | tpot = 40.4238
[61/222] User 4 | target_len=4906 | tpot = 30.8576
[62/222] User 3 | target_len=5109 | tpot = 31.3120
[64/222] User 8 | target_len=4933 | tpot = 31.4137
[63/222] User 2 | target_len=1438 | tpot = 31.4189
[65/222] User 5 | target_len=13836 | tpot = 30.8430
[66/222] User 8 | target_len=1538 | tpot = 39.9583
[60/222] User 8 | target_len=13810 | tpot = 20.0396
[69/222] User 3 | target_len=5160 | tpot = 39.5063
[68/222] User 6 | target_len=1586 | tpot = 39.4964
[71/222] User 6 | target_len=13977 | tpot = 30.3405
[70/222] User 8 | target_len=1599 | tpot = 28.5571
[72/222] User 7 | target_len=14094 | tpot = 32.2096
[73/222] User 6 | target_len=4942 | tpot = 28.3079
[74/222] User 3 | target_len=13995 | tpot = 24.8837
[76/222] User 5 | target_len=1456 | tpot = 30.9967
[75/222] User 3 | target_len=13815 | tpot = 28.4015
[67/222] User 6 | target_len=5030 | tpot = 12.5034
[77/222] User 4 | target_len=13995 | tpot = 21.9751
[79/222] User 8 | target_len=1536 | tpot = 21.8171
[78/222] User 8 | target_len=13899 | tpot = 21.3308
[82/222] User 3 | target_len=101 | tpot = 20.4032
[80/222] User 4 | target_len=14199 | tpot = 17.9985
[81/222] User 3 | target_len=5048 | tpot = 21.4744
[83/222] User 8 | target_len=14147 | tpot = 21.1850
[85/222] User 4 | target_len=1470 | tpot = 28.4639
[84/222] User 8 | target_len=4844 | tpot = 16.8253
[87/222] User 2 | target_len=14144 | tpot = 21.6468
[86/222] User 6 | target_len=5114 | tpot = 21.6482
[91/222] User 6 | target_len=104 | tpot = 23.3158
[88/222] User 2 | target_len=14111 | tpot = 26.6786
[92/222] User 1 | target_len=4913 | tpot = 32.3104
[90/222] User 1 | target_len=14026 | tpot = 22.2096
[89/222] User 7 | target_len=108 | tpot = 20.6687
[93/222] User 4 | target_len=1459 | tpot = 42.9002
[95/222] User 7 | target_len=14075 | tpot = 30.5996
[94/222] User 5 | target_len=1568 | tpot = 30.6033
[96/222] User 1 | target_len=14039 | tpot = 31.3947
[98/222] User 5 | target_len=109 | tpot = 25.4155
[97/222] User 7 | target_len=13861 | tpot = 22.2535
[99/222] User 3 | target_len=14111 | tpot = 22.1476
[101/222] User 3 | target_len=4980 | tpot = 18.2455
[100/222] User 8 | target_len=13983 | tpot = 17.6031
[103/222] User 4 | target_len=14157 | tpot = 18.2153
[106/222] User 1 | target_len=1554 | tpot = 21.7561
[104/222] User 7 | target_len=1533 | tpot = 16.8725
[108/222] User 4 | target_len=1526 | tpot = 43.3409
[107/222] User 8 | target_len=122 | tpot = 27.4073
[105/222] User 3 | target_len=1581 | tpot = 21.3941
[102/222] User 4 | target_len=13872 | tpot = 14.6464
[110/222] User 7 | target_len=4969 | tpot = 42.0072
[109/222] User 7 | target_len=5103 | tpot = 29.8554
[112/222] User 2 | target_len=13946 | tpot = 41.9207
[111/222] User 1 | target_len=4958 | tpot = 40.6344
[114/222] User 7 | target_len=1483 | tpot = 40.6546
[115/222] User 4 | target_len=1579 | tpot = 40.6489
[113/222] User 3 | target_len=1478 | tpot = 40.6370
[116/222] User 2 | target_len=1556 | tpot = 39.0907
[118/222] User 7 | target_len=5065 | tpot = 43.7505
[117/222] User 1 | target_len=13938 | tpot = 31.8285
[120/222] User 5 | target_len=113 | tpot = 45.5025
[119/222] User 5 | target_len=4964 | tpot = 37.3553
[123/222] User 4 | target_len=122 | tpot = 45.5791
[122/222] User 4 | target_len=4999 | tpot = 45.5839
[124/222] User 1 | target_len=101 | tpot = 24.6039
[121/222] User 2 | target_len=14116 | tpot = 24.4672
[125/222] User 8 | target_len=13963 | tpot = 26.6541
[126/222] User 5 | target_len=4924 | tpot = 34.5384
[127/222] User 2 | target_len=4956 | tpot = 26.0488
[130/222] User 3 | target_len=96 | tpot = 20.0363
[128/222] User 5 | target_len=14098 | tpot = 22.7444
[129/222] User 3 | target_len=5043 | tpot = 21.4721
[132/222] User 2 | target_len=82 | tpot = 31.5172
[133/222] User 1 | target_len=14032 | tpot = 26.6261
[134/222] User 8 | target_len=1481 | tpot = 26.6278
[135/222] User 2 | target_len=13983 | tpot = 33.9337
[136/222] User 1 | target_len=98 | tpot = 36.1963
[137/222] User 5 | target_len=5060 | tpot = 37.5490
[139/222] User 7 | target_len=14077 | tpot = 29.1699
[141/222] User 5 | target_len=5022 | tpot = 33.8057
[140/222] User 3 | target_len=13983 | tpot = 33.8089
[143/222] User 5 | target_len=13943 | tpot = 24.0972
[147/222] User 6 | target_len=86 | tpot = 44.2972
[144/222] User 3 | target_len=1510 | tpot = 23.7351
[145/222] User 4 | target_len=4968 | tpot = 34.8049
[146/222] User 7 | target_len=14136 | tpot = 44.8523
[138/222] User 3 | target_len=1501 | tpot = 13.4115
[131/222] User 4 | target_len=14063 | tpot = 9.3340
[142/222] User 8 | target_len=5040 | tpot = 15.1646
[148/222] User 3 | target_len=14050 | tpot = 35.1855
[149/222] User 3 | target_len=14139 | tpot = 25.5933
[150/222] User 7 | target_len=4988 | tpot = 24.9627
[152/222] User 6 | target_len=5011 | tpot = 22.3931
[154/222] User 8 | target_len=1561 | tpot = 23.2169
[153/222] User 8 | target_len=5184 | tpot = 21.1491
[157/222] User 8 | target_len=101 | tpot = 41.9214
[156/222] User 6 | target_len=5140 | tpot = 27.7282
[155/222] User 1 | target_len=13912 | tpot = 24.9762
[158/222] User 4 | target_len=1589 | tpot = 44.6688
[159/222] User 6 | target_len=5030 | tpot = 45.2402
[151/222] User 8 | target_len=14060 | tpot = 13.4430
[162/222] User 5 | target_len=105 | tpot = 44.4265
[160/222] User 3 | target_len=1514 | tpot = 44.1124
