Starting simulation with mode=ttft, load_scenario=high...
[1/223] User 23 | target_len=4937 | ttft = 0.5305
[4/223] User 22 | target_len=4945 | ttft = 2.4588
[2/223] User 5 | target_len=5120 | ttft = 2.7965
[3/223] User 7 | target_len=14225 | ttft = 2.6581
[5/223] User 8 | target_len=13821 | ttft = 25.1956
[6/223] User 7 | target_len=13960 | ttft = 25.1707
[10/223] User 24 | target_len=101 | ttft = 47.8673
[11/223] User 5 | target_len=98 | ttft = 47.8346
[9/223] User 22 | target_len=13877 | ttft = 48.0002
[7/223] User 23 | target_len=14035 | ttft = 48.0828
[8/223] User 18 | target_len=5111 | ttft = 48.0415
[12/223] User 15 | target_len=5052 | ttft = 48.0579
[17/223] User 20 | target_len=91 | ttft = 70.4891
[13/223] User 6 | target_len=4925 | ttft = 70.7708
[18/223] User 9 | target_len=5033 | ttft = 70.2706
[16/223] User 6 | target_len=1432 | ttft = 70.4943
[14/223] User 21 | target_len=4941 | ttft = 70.6250
[15/223] User 15 | target_len=4927 | ttft = 70.5991
[21/223] User 22 | target_len=97 | ttft = 92.4729
[20/223] User 21 | target_len=102 | ttft = 92.5336
[23/223] User 5 | target_len=1496 | ttft = 92.2487
[24/223] User 16 | target_len=97 | ttft = 92.1761
[19/223] User 21 | target_len=14268 | ttft = 92.6234
[22/223] User 20 | target_len=14074 | ttft = 92.3657
[26/223] User 9 | target_len=14146 | ttft = 95.0753
[27/223] User 12 | target_len=4943 | ttft = 95.0796
[25/223] User 14 | target_len=13905 | ttft = 95.1615
[28/223] User 2 | target_len=5004 | ttft = 95.5363
[32/223] User 18 | target_len=5041 | ttft = 72.0591
[33/223] User 1 | target_len=5047 | ttft = 72.0348
[31/223] User 10 | target_len=4980 | ttft = 74.3907
[29/223] User 18 | target_len=4929 | ttft = 96.4806
[34/223] User 10 | target_len=5007 | ttft = 72.0280
[30/223] User 23 | target_len=5067 | ttft = 96.4776
